tconst	averageRating	numVotes
tt1386697	5.9	730104
tt1099212	5.3	494184
tt1190080	5.8	403247
tt0120667	5.7	349329
tt0163025	5.9	345575
tt1951261	5.8	340478
tt2109248	5.6	335072
tt0322259	5.9	302516
tt1133985	5.5	299318
tt7126948	5.4	295857
tt0800320	5.8	295175
tt10838180	5.6	285942
tt0286716	5.6	281653
tt0486576	5.6	281318
tt0112462	5.4	269825
tt1959490	5.8	268954
tt7097896	5.9	266915
tt1673434	5.6	266285
tt1325004	5.1	264441
tt1440129	5.8	259988
tt0259324	5.3	255931
tt2184339	5.7	244502
tt0133152	5.7	235433
tt0287978	5.3	232137
tt1291150	5.8	222511
tt0146316	5.8	221223
tt0949731	5.0	219199
tt0370263	5.7	218326
tt0960144	5.6	216966
tt1606378	5.2	216755
tt1046173	5.7	216287
tt1284575	5.7	214611
tt8041270	5.6	213655
tt4779682	5.7	212406
tt6565702	5.7	212038
tt2094766	5.6	210827
tt2345759	5.4	209569
tt0120685	5.4	206139
tt0814255	5.9	205834
tt1469304	5.5	205486
tt6027916	5.9	203290
tt0160127	5.6	198501
tt1646987	5.7	197116
tt1617661	5.3	196057
tt10857160	5.2	194477
tt0450278	5.9	193855
tt0359013	5.8	192052
tt0993840	5.8	191642
tt1628841	5.2	191592
tt1583421	5.7	188474
tt0295701	5.8	187992
tt1217613	5.7	186175
tt0311429	5.8	185705
tt1220634	5.8	180999
tt0970416	5.5	180391
tt3322940	5.4	178796
tt10028196	5.6	178681
tt0346491	5.6	178016
tt0257106	5.4	177919
tt5814060	5.3	175361
tt6027914	5.5	174085
tt2191701	5.4	173818
tt0859163	5.2	172769
tt3371366	5.2	172085
tt3300542	5.9	171970
tt0381707	5.8	169123
tt10954652	5.8	168937
tt0890870	5.9	167467
tt0134084	5.7	167224
tt5433138	5.2	166129
tt0990407	5.8	165552
tt2120120	5.6	163110
tt1611224	5.9	162870
tt4566758	5.8	161025
tt0119345	5.8	160886
tt0306047	5.5	160598
tt12844910	5.8	158423
tt5108870	5.1	157978
tt0414982	5.8	157024
tt0413099	5.4	156770
tt0762107	5.9	155576
tt1131734	5.5	155202
tt0280590	5.8	154940
tt0889583	5.9	154867
tt0100507	5.4	152933
tt0391198	5.9	152366
tt1855325	5.3	151923
tt2034800	5.9	150250
tt2101441	5.3	150133
tt2283336	5.6	150022
tt1939659	5.8	149964
tt2180411	5.9	149207
tt1648190	5.6	147613
tt0242423	5.5	147300
tt2096672	5.6	147128
tt0277296	5.5	146960
tt3829266	5.3	146625
tt0325703	5.5	146189
tt0790736	5.6	145923
tt0417148	5.5	145828
tt0149261	5.9	145151
tt2024432	5.7	142354
tt0095956	5.8	142132
tt1034032	5.7	140528
