tconst	averageRating	numVotes
tt2322441	4.2	340293
tt1259571	4.8	303859
tt6027920	4.0	267183
tt1324999	4.9	257633
tt1815862	4.8	210926
tt1502712	4.3	179565
tt0938283	4.0	176548
tt0120891	4.9	168647
tt0758730	4.6	137247
tt0305357	4.9	134231
tt0119303	4.6	128666
tt1071875	4.3	128005
tt12262202	4.1	122932
tt1333125	4.4	114065
tt0118615	4.9	114005
tt4465564	4.6	113954
tt14954666	4.4	112433
tt3605418	4.9	106843
tt1045778	4.9	104679
tt0357277	4.7	99935
tt1564585	4.5	92693
tt1241317	4.5	91541
tt1467304	4.4	89457
tt0312528	4.1	89191
tt11057302	4.0	88651
tt1261945	4.5	85048
tt0370032	4.4	84513
tt3554046	4.5	81946
tt0477051	4.2	80983
tt0130018	4.8	79942
tt0426592	4.7	77197
tt1608290	4.7	77113
tt0111301	4.1	76396
tt4477536	4.5	76242
tt0374536	4.8	76098
tt1320261	4.9	74522
tt10280276	4.2	74348
tt0329774	4.5	74241
tt0333780	4.8	73982
tt0110216	4.7	73938
tt1273235	4.9	73586
tt2109184	4.6	71039
tt0938330	4.9	67442
tt0338459	4.4	67412
tt0255798	4.8	64589
tt1093357	4.9	64360
tt0108255	4.2	63792
tt11755740	4.7	63599
tt0831887	4.7	63159
tt0211443	4.5	62591
tt1075747	4.7	62433
tt1029360	4.9	62145
tt11117570	4.6	61141
tt0430304	4.5	61019
tt1311067	4.8	60629
tt0983946	4.9	59905
tt0228333	4.9	58595
tt1204977	4.5	58578
tt1592873	4.4	58523
tt8426926	4.7	57340
tt1572315	4.8	56901
tt1043726	4.3	56577
tt1231580	4.6	55762
tt2103254	4.9	55437
tt0107978	4.2	55267
tt2479478	4.9	54559
tt0144528	4.5	53897
tt0367652	4.7	53894
tt1139668	4.7	53687
tt15979666	4.3	52744
tt0240515	4.7	52124
tt0101917	4.7	51951
tt0091225	4.7	51758
tt0400497	4.9	51478
tt0141369	4.2	51455
tt0155975	4.6	51145
tt0387575	4.9	50897
tt1407050	4.7	49990
tt0100050	4.7	49270
tt0117765	4.6	48751
tt0102034	4.2	48554
tt1620680	4.3	48241
tt0240462	4.7	47957
tt0097474	4.9	47935
tt10155932	4.4	47684
tt1562871	4.8	47576
tt0104437	4.9	47443
tt0421729	4.8	47067
tt9660182	4.2	46650
tt0398913	4.8	46644
tt3181822	4.7	46461
tt1114677	4.7	46372
tt3387542	4.8	46205
tt10121392	4.6	46187
tt12785720	4.9	45696
tt2528814	4.6	45511
tt0316732	4.6	45446
tt0105477	4.4	45277
tt0089173	4.8	45122
tt0881891	4.8	44786
tt3291150	4.8	44775
tt0097388	4.5	44161
tt12921446	4.8	44090
tt0265087	4.9	43886
tt0498381	4.5	43739
tt0132245	4.6	43517
tt1314228	4.9	43130
tt0452681	4.8	43103
tt0113253	4.7	42843
tt0430912	4.4	42015
tt3450650	4.4	41861
tt1265990	4.8	41778
tt3679040	4.0	41023
tt1615918	4.4	40570
tt0229260	4.0	40495
tt1366365	4.9	40053
tt0211181	4.8	40051
tt0084021	4.6	39105
tt0095882	4.6	38938
tt18072316	4.0	38273
tt4191580	4.8	38041
tt2334871	4.7	37936
tt1560985	4.2	37797
tt0107254	4.1	37684
tt0457297	4.5	37624
tt0119013	4.8	37107
tt0219653	4.9	37007
tt0108308	4.8	36939
tt3256226	4.8	36645
tt1255916	4.6	36281
tt0419946	4.8	36243
tt0116654	4.6	35976
tt0118747	4.9	35118
tt0368578	4.8	35006
tt1714209	4.7	34719
tt0110657	4.6	34574
tt0366174	4.7	34451
tt0479968	4.0	34309
tt0257568	4.5	34175
tt4986098	4.8	33825
tt0098105	4.4	33614
tt0357507	4.2	32880
tt7721800	4.7	32713
tt0285462	4.9	32588
tt0326856	4.8	32557
tt0120841	4.5	32071
tt0361467	4.7	31826
tt13130948	4.5	31419
tt0107438	4.4	31282
tt2473510	4.6	31202
tt0454919	4.7	31127
tt0775440	4.4	31094
tt0176269	4.2	31058
tt0107387	4.8	31032
tt0454082	4.7	30987
tt0270980	4.7	30832
tt3089630	4.3	30708
tt0242998	4.9	30564
tt0115683	4.4	30201
tt3612126	4.4	30041
tt1464174	4.4	29894
tt2339741	4.8	29797
tt0329691	4.1	29750
tt1261978	4.6	29609
tt4590256	4.4	29500
tt11497716	4.9	29403
tt1193516	4.9	29381
tt4154858	4.9	29246
tt13610562	4.7	29043
tt0411951	4.8	28775
tt3120430	4.2	28725
tt1865567	4.5	28672
tt5635026	4.4	28544
tt1729637	4.7	28279
tt14482414	4.7	28225
tt14174940	4.7	27915
tt2799166	4.6	27641
tt1452628	4.9	27630
tt4978420	4.5	27497
tt1633356	4.1	27402
tt10418662	4.9	26877
tt0335121	4.8	26702
tt11514780	4.8	26679
tt0231402	4.8	26488
tt4030600	4.3	26475
tt13280476	4.7	26295
tt1679235	4.1	26148
tt0110725	4.6	25801
tt1603257	4.7	25635
