tconst	averageRating	numVotes
tt0111161	9.3	2946100
tt0468569	9.0	2926255
tt0944947	9.2	2349236
tt0903747	9.5	2212160
tt0068646	9.2	2053511
tt0167260	9.0	2016373
tt0108052	9.0	1477875
tt0071562	9.0	1387967
tt1475582	9.1	1019127
tt7366338	9.3	896041
tt0050083	9.0	885866
tt0386676	9.0	738367
tt3032476	9.0	679840
tt2861424	9.1	621466
tt2560140	9.1	547735
tt0185906	9.4	541438
tt0141842	9.2	491585
tt0306414	9.3	387418
tt0417299	9.3	385740
tt14392248	9.2	313340
tt11126994	9.0	289287
tt0388629	9.0	258459
tt4283088	9.9	232294
tt0795176	9.4	222591
tt1355642	9.1	205463
tt4283094	9.9	166437
tt5491994	9.5	161043
tt12392504	9.2	159916
tt8420184	9.1	157587
tt2301455	9.9	146462
tt2098220	9.0	145008
tt9906260	9.7	133923
tt2395695	9.2	130426
tt2178784	9.9	124586
tt0103359	9.0	120747
tt3866850	9.8	112221
tt11957006	9.1	111578
tt13857684	9.7	105284
tt14500884	9.1	102522
tt5775846	9.7	97779
tt12004706	9.0	97271
tt1831164	9.1	97179
tt0052520	9.0	95813
tt9432978	9.0	85134
tt13605714	9.7	82230
tt9898836	9.8	81638
tt4283028	9.7	81618
tt13819632	9.7	80129
tt17277218	9.7	79679
tt14659486	9.4	79352
tt1683088	9.9	78892
tt17505964	9.7	78836
tt2140553	9.7	78293
tt27715317	9.7	77721
tt28227737	9.1	75756
tt17594170	9.7	75423
tt2103188	9.5	74280
tt4742876	9.1	73197
tt28475739	9.1	72348
tt5775874	9.4	71388
tt5775864	9.0	71234
tt30263074	9.3	70357
tt3973198	9.1	69563
tt10023374	9.7	68905
tt27719898	9.0	68897
tt10541088	9.0	64775
tt2832378	9.7	64050
tt9166696	9.8	63932
tt3060782	9.7	63802
tt19811660	9.7	63210
tt13052880	9.8	63001
tt3060910	9.7	62838
tt12187040	9.9	59789
tt6161168	9.7	58896
tt11630828	9.8	58817
tt11198350	9.3	58770
tt15747176	9.3	58569
tt2084342	9.7	58183
tt2301449	9.8	58175
tt0081912	9.0	57680
tt10034602	9.7	57401
tt27179976	9.5	57393
tt2301453	9.7	56764
tt3060858	9.6	56593
tt8162428	9.4	56339
tt3060860	9.6	54992
tt21357640	9.4	54761
tt1851398	9.6	54288
tt28704920	9.4	53919
tt11198348	9.1	53281
tt8482972	9.6	53216
tt9253866	9.3	52887
tt4077554	9.2	52636
tt5775840	9.1	52280
tt6723680	9.7	50843
tt3866826	9.4	50560
tt9471404	9.2	50404
tt9166672	9.5	49787
tt3866862	9.1	49301
tt7920978	9.0	48454
tt6769208	9.3	48009
tt2592910	9.0	47519
tt1851397	9.4	47145
tt9166678	9.3	47036
tt0959621	9.0	46792
tt11198354	9.2	46275
tt5164772	9.2	45889
tt14342824	9.0	45841
tt0383385	9.4	45727
tt13907662	9.4	45405
tt0081846	9.3	45109
tt15747178	9.0	45068
tt2178798	9.5	44812
tt21279678	9.0	43797
tt0252487	9.2	43531
tt1683086	9.7	43475
tt10783086	9.2	43330
tt0296310	9.0	43318
tt1533395	9.1	43287
tt2301463	9.7	43083
tt11172022	9.6	42608
tt4283016	9.0	42352
tt1942612	9.4	42278
tt14132418	9.6	41524
tt1942614	9.6	41259
tt12187044	9.8	41164
tt1829964	9.0	41152
tt1837863	9.1	41072
tt2816136	9.0	40836
tt14551446	9.3	40781
tt2112510	9.3	40638
tt1837862	9.1	40607
tt1322867	9.7	40549
tt14143312	9.6	40113
tt2301467	9.6	39648
tt2301445	9.6	39397
tt1615553	9.7	39395
tt14986406	9.0	39383
tt1821284	9.7	39331
tt5838588	9.5	39092
tt13611850	9.2	38943
tt11171978	9.4	38772
tt18953204	9.6	38608
tt14093766	9.5	38452
tt6723710	9.7	38394
tt1830404	9.7	38368
tt2301469	9.6	38168
tt21151974	9.9	37772
tt2178796	9.1	37637
tt3334704	9.4	37437
tt5218332	9.8	36964
tt1683085	9.6	36849
tt3060876	9.0	36836
tt1054728	9.3	36635
tt2790174	9.6	36467
tt2301471	9.4	36459
tt14134628	9.5	36413
tt14134634	9.4	35951
tt2825724	9.1	35774
tt8084176	9.9	35713
tt1568322	9.4	35707
tt1615944	9.6	35534
tt10064964	9.6	35473
tt1453919	9.7	35110
tt12187032	9.7	35107
tt1615552	9.5	34717
tt13052856	9.3	34671
tt2993508	9.6	34533
tt2081647	9.2	34400
tt1814884	9.3	34392
tt2301447	9.1	34055
tt12810166	9.1	33819
tt4575388	9.6	33594
tt4202274	9.2	33561
tt2092588	9.0	33422
tt1824873	9.7	33405
tt1683087	9.5	33200
tt1232249	9.3	32994
tt2301443	9.2	32617
tt1806725	9.7	32423
tt1232255	9.2	32418
tt2781046	9.2	32344
tt2790254	9.5	32279
tt1282022	9.1	32253
tt5229638	9.7	32006
tt7678620	9.3	31977
tt3297776	9.6	31824
tt7911942	9.2	31723
tt1479962	9.4	31499
tt28598913	9.3	31235
tt1589921	9.2	31069
tt1683084	9.2	30990
tt10064968	9.5	30914
tt1232256	9.1	30834
tt5807780	9.2	30827
tt2948638	9.6	30816
tt1232247	9.3	30811
tt10161340	9.0	30459
tt0071075	9.2	30388
tt9038682	9.5	30301
tt9806162	9.5	30243
tt2301465	9.0	30232
tt0314123	9.2	30225
tt1232248	9.2	30184
tt1664530	9.0	30006
tt18856536	9.5	29990
tt12188572	9.4	29528
tt5719536	9.7	29487
tt9121546	9.2	29466
tt1683095	9.3	29322
tt3845888	9.1	29247
tt9790722	9.5	29209
tt18211918	9.0	29206
tt1615556	9.3	29041
tt1349460	9.3	28976
tt1877514	9.1	28718
tt7453430	9.7	28687
tt8772218	9.7	28473
tt1806234	9.0	28070
tt4593138	9.3	28065
tt2790196	9.5	27884
tt26660301	9.1	27868
tt8772220	9.7	27845
tt10023452	9.2	27805
tt12188568	9.0	27655
tt15163002	9.2	27601
tt3148020	9.5	27336
tt12187042	9.4	27264
tt9121544	9.0	26933
tt13052868	9.1	26914
tt8733180	9.5	26821
tt14526270	9.1	26765
tt3866650	9.4	26692
tt6020876	9.3	26526
tt27647886	9.5	26508
tt1201133	9.0	26474
tt18271352	9.4	26292
tt6723686	9.5	26266
tt8595766	9.0	26219
tt14525206	9.2	26101
tt14180486	9.6	25892
tt2879076	9.2	25708
tt17521746	9.7	25674
tt12557704	9.6	25451
tt1800763	9.0	25350
tt6723708	9.5	25327
tt18484352	9.1	25322
tt2790184	9.1	25214
tt3174248	9.3	25082
tt1125798	9.0	25036
tt5218228	9.6	25018
tt3554580	9.0	24902
tt8517724	9.2	24747
tt1000252	9.8	24672
tt0268093	9.0	24551
tt5158314	9.2	24497
tt10530900	9.1	24193
tt30673629	9.7	24186
tt13675832	9.0	24166
tt4593134	9.0	23916
tt6020812	9.2	23843
tt12187284	9.4	23796
tt2790238	9.2	23639
tt2928456	9.1	23479
tt2790240	9.2	23280
tt27484657	9.1	23207
tt28453133	9.2	23094
