tconst	averageRating	numVotes
tt0118688	3.8	271308
tt0327554	3.4	127278
tt10886166	3.3	100697
tt0368226	3.6	96196
tt0810913	3.3	91564
tt0120179	3.9	86998
tt0795461	3.5	78352
tt4877122	3.4	73168
tt0450345	3.8	72232
tt0119707	3.6	58811
tt0811138	3.8	55406
tt2724064	3.3	53667
tt0094074	3.7	53646
tt1666186	3.4	52180
tt0460780	3.8	51558
tt0093300	3.0	50551
tt0220506	3.9	50122
tt0085750	3.7	49374
tt8712204	3.6	46772
tt1714203	3.8	46016
tt0118661	3.8	45806
tt0275022	3.8	44978
tt1530509	3.8	44020
tt2610768	3.2	43948
tt0424774	3.8	43266
tt2467046	3.1	43040
tt0329028	3.4	42905
tt0052077	3.9	40913
tt1255919	3.9	39940
tt0432291	3.7	39694
tt5690360	3.3	39360
tt0926129	3.9	38503
tt0120185	3.7	38170
tt7608028	3.3	37558
tt0383222	3.0	37497
tt0110857	3.5	36634
tt0190374	3.7	36601
tt6513656	3.9	35853
tt0105643	3.0	35180
tt6990206	3.5	33635
tt9196192	3.6	32813
tt0115624	3.5	31644
tt0897361	3.6	31158
tt0246894	3.1	29959
tt0076009	3.8	28928
tt1517489	3.6	28906
tt0365957	3.9	28805
tt0295427	3.4	27643
tt0180052	3.9	27287
tt0110978	3.3	26566
tt1014775	3.9	26223
tt0116756	3.1	25914
tt0158622	3.7	25853
tt15387026	3.7	25796
tt0891592	3.7	25548
tt0372873	3.5	25518
tt0804452	3.1	25065
tt1139592	3.9	24922
tt0367093	3.6	24711
tt1563069	3.9	24698
tt4667094	3.5	23552
tt0295254	3.4	22959
tt2403029	3.2	22849
tt0433412	3.9	22830
tt5882970	3.9	22002
tt0308208	3.7	21229
tt1656171	3.9	20750
tt11012066	3.6	20690
tt7059844	3.0	20517
tt0065832	3.3	19842
tt11656172	3.1	19595
tt10481868	3.5	19411
tt13439476	3.7	18960
tt3477064	3.8	18820
tt0492389	3.9	18476
tt6439558	3.4	18316
tt0283877	3.7	18312
tt0462244	3.2	18110
tt0291502	3.6	18101
tt6988116	3.6	17243
tt3138104	3.5	17188
tt0094824	3.8	16668
tt7510346	3.9	16499
tt10739666	3.4	16180
tt21279138	3.8	15740
tt14865406	3.9	15510
tt10930586	3.4	15499
tt0103923	3.2	15351
tt0120207	3.0	15262
tt0400426	3.2	15107
tt1185266	3.6	15100
tt1104123	3.8	14856
tt0095560	3.4	14784
tt1231277	3.6	14598
tt7721946	3.6	14499
tt27785645	3.6	14469
tt12335692	3.5	14125
tt0106761	3.9	14059
tt7897330	3.8	13892
tt0469111	3.4	13707
tt4059702	3.8	13386
tt5842616	3.3	13323
tt0499487	3.2	13189
tt0157262	3.5	13061
tt1411664	3.3	13002
tt2308733	3.5	12860
tt1153706	3.6	12853
tt1712159	3.9	12645
tt0094118	3.5	12639
tt0110647	3.2	12597
tt3053228	3.5	12586
tt0462395	3.5	12552
tt1552211	3.8	12551
tt0118539	3.0	12523
tt1273221	3.9	12471
tt15281656	3.1	12285
tt1091617	3.7	12212
tt10598156	3.8	12146
tt7851428	3.3	12136
tt2292959	3.8	12040
tt5456546	3.6	11879
tt1619880	3.2	11865
tt7312940	3.6	11736
tt0806147	3.7	11647
tt0489598	3.8	11613
tt0800003	3.6	11564
tt0160236	3.9	11492
tt3832096	3.7	11342
tt11771594	3.9	11206
tt30007864	3.6	10734
tt6616074	3.2	10660
tt8923396	3.5	10580
tt8328716	3.8	10550
tt2364897	3.9	10519
tt0107612	3.8	10328
tt9592496	3.6	10294
tt1594972	3.4	10253
tt1045655	3.9	10212
tt0082910	3.8	10107
tt0120389	3.7	10047
tt0353324	3.0	10020
tt0299981	3.0	10010
tt2025667	3.3	9915
tt13468976	3.8	9911
tt10279472	3.7	9860
tt0086325	3.5	9816
tt0218619	3.9	9754
tt0028346	3.7	9483
tt0490196	3.3	9480
tt11697484	3.8	9393
tt7399138	3.0	9358
tt1781896	3.7	9276
tt7541720	3.2	9268
tt4831420	3.9	9223
tt0093974	3.9	9210
tt13155198	3.7	9094
tt0494501	3.0	8990
tt9558612	3.0	8947
tt0142055	3.9	8945
tt16496386	3.9	8941
tt4685806	3.8	8920
tt0116861	3.6	8919
tt1650433	3.0	8884
tt0298296	3.9	8699
tt0426615	3.0	8663
tt0209095	3.8	8570
tt7086706	3.5	8502
tt0829176	3.6	8438
tt0092325	3.4	8407
tt0094750	3.9	8406
tt19289040	3.3	8404
tt9648672	3.7	8380
tt0089308	3.7	8322
tt0102585	3.9	8294
tt6593054	3.2	8281
tt7974772	3.5	8131
tt7295450	3.9	8063
tt0844894	3.9	8058
tt0427323	3.3	8057
tt0322389	3.4	8035
tt11792734	3.7	7988
tt2976182	3.2	7948
tt15079460	3.4	7912
tt0196158	3.5	7829
tt0165662	3.9	7792
tt0109770	3.8	7786
tt1171709	3.3	7771
tt0313038	3.2	7710
tt1986994	3.8	7691
tt1144804	3.8	7640
tt0373908	3.5	7612
tt11423214	3.6	7594
tt0974583	3.2	7574
tt0089274	3.8	7545
tt0327643	3.5	7506
tt0312700	3.4	7410
tt0758781	3.1	7298
tt0301454	3.5	7227
tt2321341	3.8	7189
tt0404090	3.3	7187
tt4796122	3.7	7161
tt5427032	3.5	7131
tt1147687	3.7	7124
tt6298780	3.9	7096
tt0091344	3.9	7030
tt5737536	3.3	7021
tt4184878	3.3	6938
tt1153546	3.0	6937
tt0323531	3.4	6934
tt0770810	3.6	6783
tt12775836	3.4	6754
tt8804580	3.2	6699
tt11112526	3.3	6693
tt8983220	3.2	6647
tt2345613	3.2	6646
tt5262792	3.2	6602
tt1001562	3.4	6598
tt0969653	3.1	6583
tt3289080	3.5	6539
tt1290135	3.8	6519
tt4007558	3.6	6503
tt13265876	3.0	6498
tt0468999	3.0	6497
tt0086955	3.8	6489
tt0773264	3.6	6433
tt1699513	3.1	6422
tt1352388	3.9	6334
tt2974050	3.4	6306
tt0083170	3.5	6302
tt27458291	3.8	6264
tt0435665	3.7	6225
tt3735332	3.3	6219
tt0283054	3.8	6218
tt0887719	3.9	6215
tt10342228	3.5	6183
tt0094077	3.7	6175
tt0086987	3.0	6141
tt2576450	3.5	6089
tt12528166	3.3	6072
tt0108187	3.9	6051
tt1431240	3.0	6047
tt0348894	3.5	6038
tt1730704	3.7	6017
tt7161862	3.9	6014
tt27047448	3.7	5983
tt0096804	3.7	5978
tt1015999	3.6	5975
tt3569356	3.5	5973
tt0478125	3.2	5939
tt3399484	3.8	5903
tt0995752	3.8	5903
tt0339294	3.9	5882
tt1755893	3.8	5856
tt0091934	3.3	5846
tt7286966	3.2	5781
tt1189383	3.2	5777
tt10338160	3.3	5760
tt1194271	3.1	5741
tt1570619	3.0	5735
tt1343704	3.1	5724
tt0064373	3.9	5720
tt14577300	3.3	5680
tt3743126	3.3	5651
tt0093227	3.5	5650
tt5235880	3.1	5621
tt12861508	3.0	5604
tt3655682	3.8	5597
tt0411805	3.3	5569
tt0203408	3.5	5566
tt0095382	3.9	5534
tt1499249	3.3	5534
tt4718304	3.6	5531
tt0949751	3.9	5529
tt0046248	3.0	5526
tt7296862	3.3	5525
tt0266747	3.0	5515
tt3588588	3.8	5502
tt5932368	3.0	5463
tt0117102	3.8	5424
tt1852770	3.6	5420
tt0165494	3.3	5403
tt0105251	3.9	5360
tt0150111	3.9	5338
tt1767319	3.1	5336
tt1579232	3.5	5334
tt1223922	3.8	5318
tt15837458	3.4	5281
tt8031422	3.5	5271
tt0254871	3.5	5271
tt0146402	3.9	5257
tt0106639	3.9	5251
tt0415160	3.7	5245
tt4898730	3.7	5240
tt0416243	3.7	5237
tt11591424	3.7	5235
tt0265148	3.8	5197
tt14315500	3.8	5190
tt5493706	3.7	5185
tt14412366	3.5	5183
tt9319770	3.9	5167
tt8746404	3.4	5146
tt11871764	3.1	5138
tt2325518	3.5	5100
tt29856129	3.8	5073
tt3781762	3.5	5068
tt1728973	3.1	5065
tt0476550	3.7	5058
tt11563070	3.8	5051
tt0232079	3.7	5014
tt0177625	3.5	4993
tt8363392	3.9	4971
tt7461372	3.3	4943
tt0053611	3.7	4942
tt28282872	3.6	4926
