tconst	averageRating	numVotes
tt0458339	6.9	910695
tt1228705	6.9	882409
tt0120915	6.5	872561
tt0121765	6.6	771735
tt2975590	6.5	759742
tt1981115	6.7	735676
tt0948470	6.9	714640
tt0369610	6.9	688717
tt2527336	6.9	682026
tt1637725	6.9	667317
tt0413300	6.3	650235
tt4154664	6.8	621505
tt1298650	6.6	572880
tt1517268	6.8	568351
tt0356910	6.5	551704
tt0376994	6.6	551037
tt1270797	6.6	550807
tt0242653	6.7	550670
tt1872181	6.6	548633
tt0458525	6.5	545091
tt2872732	6.4	543478
tt1411697	6.5	543052
tt0367594	6.7	538351
tt1663662	6.9	537124
tt0800080	6.6	531414
tt1477834	6.8	528323
tt1790864	6.8	521731
tt0448157	6.4	518774
tt0092099	6.9	513195
tt1951265	6.6	511794
tt2527338	6.4	503743
tt1430132	6.7	503008
tt1840309	6.6	496240
tt0367882	6.2	496185
tt9419884	6.9	493097
tt0319262	6.5	485760
tt0974015	6.1	483533
tt0458352	6.9	482225
tt0407304	6.5	481555
tt1535108	6.6	475746
tt0830515	6.5	475442
tt1499658	6.9	473800
tt2379713	6.8	471770
tt3385516	6.8	470661
tt0382625	6.6	464336
tt0120591	6.7	457307
tt1637688	6.7	455459
tt0119567	6.6	450257
tt0831387	6.4	447809
tt1014759	6.4	446854
tt0351283	6.9	445449
tt0315327	6.8	440773
tt1245492	6.6	439116
tt1399103	6.2	436740
tt3480822	6.6	436570
tt0363771	6.9	433798
tt1055369	6.0	433472
tt0110475	6.9	431114
tt0232500	6.8	426638
tt0181852	6.3	422897
tt0349903	6.5	419331
tt10648342	6.2	414556
tt0493464	6.7	413283
tt0120912	6.2	410261
tt0104431	6.9	409524
tt1587310	6.9	405225
tt1632708	6.5	400504
tt0317919	6.9	395809
tt2737304	6.6	395045
tt9032400	6.3	394945
tt0286106	6.8	393148
tt1409024	6.8	393106
tt0343660	6.8	388854
tt0478311	6.9	388131
tt7631058	6.9	387823
tt1068680	6.8	387626
tt3778644	6.9	386165
tt0477347	6.5	384098
tt0120755	6.1	383104
tt1951266	6.6	381838
tt0438488	6.5	381173
tt4649466	6.7	373047
tt0496806	6.9	371707
tt1041829	6.8	369648
tt2798920	6.8	369252
tt1320253	6.4	368297
tt0389860	6.4	362875
tt0910936	6.9	360952
tt1231583	6.5	360695
tt0368891	6.9	360405
tt2788710	6.5	360289
tt1104001	6.8	359913
tt0213149	6.2	355909
tt3731562	6.7	355862
tt0167190	6.8	355052
tt1790809	6.5	354034
tt6857112	6.8	351316
tt0209163	6.4	350899
tt4881806	6.1	350882
tt1591095	6.8	344575
tt1037705	6.8	344552
tt1645170	6.5	342251
