tconst	averageRating	numVotes
tt0499549	7.9	1403720
tt0120338	7.9	1306453
tt0371746	7.9	1144351
tt1392170	7.2	1019212
tt2488496	7.8	984732
tt2395427	7.3	937830
tt0800369	7.0	913356
tt1843866	7.7	912697
tt1300854	7.1	912417
tt0145487	7.4	897014
tt0903624	7.8	885664
tt0416449	7.6	874926
tt0241527	7.6	872650
tt7131622	7.6	871635
tt1454468	7.7	870768
tt3498820	7.8	866294
tt1119646	7.7	862028
tt0121766	7.6	859849
tt1825683	7.3	851626
tt3501632	7.9	831821
tt0480249	7.2	829296
tt1211837	7.5	820883
tt0770828	7.1	820460
tt1877830	7.8	817253
tt8946378	7.9	790532
tt2543164	7.9	789288
tt0383574	7.4	779652
tt3896198	7.6	773669
tt1285016	7.8	771317
tt1877832	7.9	758049
tt2911666	7.4	754866
tt5013056	7.8	753213
tt1631867	7.9	752322
tt0126029	7.9	749768
tt1045658	7.7	749475
tt0144084	7.6	742271
tt1074638	7.8	738524
tt1270798	7.7	735735
tt0816711	7.0	734978
tt2250912	7.4	734494
tt0478970	7.2	733995
tt2802144	7.7	732122
tt1951264	7.5	731976
tt5052448	7.8	726281
tt1136608	7.9	724828
tt0316654	7.5	724301
tt1670345	7.2	719323
tt0780504	7.8	717567
tt1170358	7.8	716417
tt0451279	7.3	707505
tt0421715	7.8	705594
tt0304141	7.9	705458
tt0295297	7.4	705394
tt0449088	7.1	704177
tt3748528	7.8	698715
tt0330373	7.7	694230
tt5463162	7.6	684162
tt0418279	7.1	683563
tt0988045	7.6	679415
tt0454876	7.9	674216
tt2562232	7.7	673247
tt2294629	7.4	673163
tt3460252	7.8	671769
tt0099785	7.7	663059
tt1446714	7.0	663048
tt0120903	7.3	661598
tt0162222	7.8	649424
tt0829482	7.6	645414
tt0373889	7.5	645292
tt1024648	7.7	644642
tt0936501	7.7	643209
tt0234215	7.2	639429
tt0332280	7.8	634419
tt1156398	7.5	632076
tt0120363	7.9	630101
tt0240772	7.7	629974
tt3890160	7.5	627792
tt0796366	7.9	624094
tt0119654	7.3	623813
tt1396484	7.3	621373
tt1219289	7.4	619355
tt11286314	7.2	617499
