tconst	averageRating	numVotes
tt10888594	1.9	180220
tt7886848	1.2	96832
tt1213644	1.9	95203
tt27528139	1.2	86241
tt14153790	1.6	79048
tt1702443	1.7	76467
tt5988370	1.0	74150
tt7431594	1.9	48923
tt4884540	1.4	42952
tt14723224	1.5	40609
tt6038600	1.2	40216
tt7221896	1.0	39451
tt0060666	1.6	37768
tt0270846	1.5	31781
tt4458206	1.7	27589
tt0339034	1.9	27104
tt1316037	1.7	25770
tt14878948	1.2	20684
tt0417056	1.7	18962
tt3165608	1.6	17929
tt1229827	1.6	17553
tt4009460	1.3	16850
tt0808240	1.5	16816
tt12286260	1.7	15617
tt1520498	1.7	15488
tt0421051	1.2	14918
tt0096870	1.8	14693
tt20255706	1.1	13806
tt1640571	1.7	13103
tt0249516	1.3	12081
tt21403988	1.1	12013
tt21194980	1.1	11167
tt27530764	1.2	10666
tt0054673	1.9	10487
tt8402090	1.2	10366
tt13423846	1.0	10210
tt0059464	1.8	10102
tt1309000	1.3	10013
tt18561380	1.2	9956
tt10263320	1.4	9844
tt0470833	1.6	9691
tt0330994	1.5	9685
tt13583468	1.2	9611
tt2344678	1.8	9371
tt0830861	1.3	9077
tt21403982	1.1	9031
tt3036740	1.7	8906
tt21403984	1.1	8836
tt1196334	1.6	8519
tt10367276	1.4	8464
tt0463392	1.5	8309
tt0364986	1.9	8295
tt10023178	1.5	7725
tt1132130	1.8	7652
tt0473310	1.4	7136
tt4404474	1.3	7088
tt0953989	1.5	7070
tt7535868	1.6	7016
tt1158700	1.2	6608
tt0060753	1.6	6546
tt20918756	1.0	6402
tt10171746	1.4	6097
tt19847670	1.1	5468
tt1758570	1.9	5229
tt1674047	1.5	5110
tt0057507	1.9	5021
tt2071491	1.5	4992
tt5617916	1.9	4866
tt17220204	1.6	4864
tt0061191	1.8	4815
tt9364684	1.4	4794
tt0960835	1.7	4779
tt0057970	1.9	4753
tt0469849	1.7	4718
tt0252060	1.9	4486
tt0113135	1.7	4483
tt2150163	1.7	4465
tt2180158	1.5	4400
tt2740710	1.7	4320
tt2287238	1.9	4116
tt1788453	1.7	4097
tt0118137	1.7	4051
tt0382028	1.9	4004
tt0929809	1.9	3952
tt8081062	1.8	3907
tt1094162	1.5	3888
tt2679334	1.2	3871
tt1364951	1.7	3752
tt2287250	1.9	3744
tt4717194	1.7	3733
tt1623780	1.4	3659
tt9165634	1.3	3563
tt0058615	1.6	3541
tt0162930	1.8	3509
tt15257704	1.9	3186
tt0445890	1.8	3179
tt0112873	1.5	3179
tt1792794	1.7	3104
tt31451148	1.2	3011
tt0074260	1.4	3007
tt0958824	1.6	2885
tt1256535	1.9	2857
tt12664876	1.0	2835
tt1852818	1.0	2822
tt11766306	1.0	2807
tt0451109	1.6	2747
tt3178320	1.6	2668
tt8235296	1.5	2662
