tconst	averageRating	numVotes
tt1375666	8.8	2598206
tt0137523	8.8	2378127
tt0109830	8.8	2304266
tt0110912	8.9	2262415
tt0816692	8.7	2166133
tt0133093	8.7	2091870
tt0120737	8.9	2045776
tt1345836	8.4	1859162
tt0114369	8.6	1838610
tt0167261	8.8	1818037
tt1853728	8.5	1731007
tt0172495	8.5	1660328
tt0993846	8.2	1622285
tt0361748	8.4	1618993
tt0372784	8.2	1604927
tt0102926	8.6	1579851
tt7286456	8.4	1538429
tt0120815	8.6	1522985
tt1130884	8.2	1492655
tt0848228	8.0	1478638
tt0076759	8.6	1472417
tt0482571	8.5	1468450
tt0407887	8.5	1446043
tt0120689	8.6	1435666
tt0080684	8.7	1402911
tt4574334	8.7	1380438
tt0209144	8.4	1343390
tt0088763	8.5	1334715
tt4154796	8.4	1301452
tt2015381	8.0	1290696
tt0099685	8.7	1282029
tt0110413	8.5	1267660
tt4154756	8.4	1235638
tt0325980	8.1	1232212
tt0120382	8.2	1228162
tt0169547	8.3	1225074
tt0910970	8.4	1223241
tt0266697	8.2	1217101
tt0120586	8.5	1203521
tt0103064	8.6	1195700
tt0434409	8.1	1192925
tt1431045	8.0	1170136
tt0110357	8.5	1164686
tt0114814	8.5	1161463
tt1049413	8.3	1147184
tt0086190	8.3	1138523
tt1392190	8.1	1132490
tt0266543	8.2	1131304
tt0081505	8.4	1129308
tt0264464	8.1	1121960
tt0108778	8.9	1110066
tt1520211	8.1	1106900
tt0105236	8.3	1106227
tt0112573	8.3	1105444
tt0338013	8.3	1096678
tt0119217	8.3	1094806
tt2267998	8.1	1088451
tt0114709	8.3	1088336
tt0073486	8.7	1087875
tt0107290	8.2	1087664
tt0477348	8.2	1083857
tt0167404	8.2	1070886
tt0082971	8.4	1050248
tt2582802	8.5	1020294
tt0268978	8.2	1000900
tt0198781	8.1	998961
tt6751668	8.5	995816
tt0078748	8.5	982371
tt1201607	8.1	966017
tt0095016	8.2	959503
tt1675434	8.5	946643
tt3659388	8.0	943794
tt0075314	8.2	941744
tt0088247	8.1	941208
tt0086250	8.3	934687
tt0253474	8.5	932690
tt0208092	8.2	923869
tt0180093	8.3	914477
tt10872600	8.2	907494
tt0435761	8.3	907021
tt1160419	8.0	905315
tt2278388	8.1	901811
tt0066921	8.2	892995
tt1663202	8.0	889055
tt0898266	8.1	885487
tt1010048	8.0	884645
tt0245429	8.6	872277
tt0118715	8.1	872138
tt0246578	8.0	862887
tt3315342	8.1	861779
tt0382932	8.1	849259
tt0947798	8.0	838706
tt2084970	8.0	836118
tt0083658	8.1	835210
tt1392214	8.2	833128
tt2096673	8.1	831114
tt0317705	8.0	827458
tt0060196	8.8	825423
tt1205489	8.1	824158
tt0097576	8.2	821506
tt0378194	8.0	819606
tt0892769	8.1	815987
tt0317248	8.6	814266
tt0211915	8.3	803855
tt0093058	8.2	802813
tt15398776	8.3	800331
tt0401792	8.0	799153
tt0773262	8.6	794506
tt0090605	8.4	785591
tt0118799	8.6	755098
tt2024544	8.1	750288
tt0460649	8.3	741789
tt0116282	8.1	737032
tt0117951	8.1	735231
tt1745960	8.2	732578
tt0113277	8.3	732554
tt0062622	8.3	731989
tt0054215	8.5	731130
tt0405159	8.1	730501
tt1190634	8.7	725195
tt0078788	8.4	721566
tt1504320	8.0	713462
tt0457430	8.2	711037
tt0381061	8.0	703106
tt8579674	8.2	696765
tt0107048	8.0	696280
tt4633694	8.4	693841
tt3783958	8.0	691361
tt1856101	8.0	684957
tt1798709	8.0	683284
tt0073195	8.1	675167
tt2442560	8.8	674512
tt2356777	8.9	672024
tt0758758	8.1	666050
tt0440963	8.0	664038
tt2085059	8.7	655970
tt0114746	8.0	653783
tt0469494	8.2	651847
tt0364569	8.3	651275
tt0075148	8.1	640397
tt0119488	8.2	625851
tt0120735	8.1	623790
tt0034583	8.5	614608
tt2380307	8.4	613407
tt0411008	8.3	612824
tt2119532	8.1	611591
tt8111088	8.6	602652
tt2306299	8.5	598509
tt0455275	8.3	595986
tt6966692	8.2	594791
tt0450259	8.0	594565
tt5180504	8.0	581764
tt10048342	8.5	579255
tt0071853	8.2	577004
tt10811166	8.6	575188
tt0112641	8.2	574508
tt0454921	8.0	572852
tt10919420	8.0	569633
tt3581920	8.7	567574
tt5027774	8.1	565187
tt0097165	8.1	562286
tt2948356	8.0	559920
tt0095953	8.0	553809
tt6468322	8.2	547009
tt0475784	8.5	540087
tt1856010	8.6	536809
tt0412142	8.7	531871
tt0047396	8.5	531138
tt0057012	8.3	525340
tt15239678	8.5	522350
tt1979320	8.1	521768
tt1895587	8.1	508251
tt0038650	8.6	506282
tt1291584	8.1	503847
tt1454029	8.1	500795
tt1442437	8.5	497561
tt1950186	8.1	496364
tt1632701	8.4	495537
tt0460681	8.4	494544
tt0101414	8.0	484909
tt3322312	8.6	483231
tt2707408	8.7	481224
tt0084787	8.2	478264
tt0103639	8.0	477281
tt0033467	8.3	471599
tt0070047	8.1	464011
tt0319061	8.0	463265
tt0347149	8.2	462946
tt5753856	8.7	461720
tt3170832	8.1	457883
tt0093779	8.0	457147
tt0092005	8.1	450756
tt11198330	8.4	447333
tt0091763	8.1	445835
tt1187043	8.4	443808
tt0119698	8.3	443525
tt0096697	8.7	442496
tt0105695	8.2	442407
tt0032138	8.1	435160
tt0086879	8.4	434937
tt0052357	8.3	434552
tt2802850	8.9	430401
tt4158110	8.5	427376
tt0079470	8.0	424580
tt9140554	8.2	424274
tt0405094	8.4	416013
tt0121955	8.7	412322
tt9362722	8.6	404574
tt0877057	8.9	395295
tt2948372	8.0	391705
tt0096283	8.1	391026
tt0081398	8.1	385755
tt0087843	8.3	383721
tt13443470	8.1	383054
tt0363163	8.2	379900
tt2467372	8.4	377514
tt0395169	8.1	376911
tt2106476	8.3	372706
tt0047478	8.6	372572
tt0182576	8.1	369251
tt10986410	8.8	367489
tt0077416	8.1	367329
tt1796960	8.3	364335
tt4052886	8.1	363900
tt7767422	8.2	363119
tt0098904	8.9	358290
tt5071412	8.5	356075
tt0071315	8.1	356036
tt0064116	8.5	354094
tt0053125	8.3	351086
tt5290382	8.6	349035
tt1844624	8.0	349005
tt0112471	8.1	347140
tt0031381	8.2	338614
tt0105323	8.0	337271
tt0056592	8.3	336988
tt5311514	8.4	334315
tt0175880	8.0	332446
tt1124373	8.6	330192
tt0367279	8.7	328502
tt2372162	8.0	323876
tt0095327	8.5	322367
tt0056172	8.3	320224
tt1028532	8.1	317731
tt1439629	8.5	298168
tt6763664	8.5	297665
tt1586680	8.5	297205
tt0099348	8.0	295735
tt1266020	8.6	294204
tt0381681	8.1	293495
tt0061722	8.0	291925
tt7660850	8.8	290192
tt0095765	8.5	288624
tt0053291	8.2	287509
tt0303461	8.9	284999
tt0070735	8.3	283544
tt2243973	8.5	282439
tt0075686	8.0	280784
tt0059578	8.2	279932
tt0072890	8.0	276893
tt0285403	8.4	273338
tt5675620	8.4	271572
tt0082096	8.4	267837
tt0059742	8.1	266208
tt0804503	8.7	265912
tt0149460	8.5	265589
tt0045152	8.3	265119
tt0027977	8.5	263671
tt5834204	8.4	263429
tt4786824	8.6	262535
tt0080678	8.2	262458
tt0057115	8.2	262378
tt1832382	8.3	262282
tt1442449	8.5	260673
tt1119644	8.4	260462
tt12637874	8.4	258974
tt0472954	8.8	257169
tt0052618	8.1	256841
tt0245712	8.0	255959
tt8772296	8.3	255388
tt0106179	8.6	255150
tt3741834	8.0	254516
tt0436992	8.5	251779
tt14452776	8.6	247277
tt0083987	8.0	241606
tt0032553	8.4	240725
tt0063522	8.0	240608
tt0043014	8.4	240416
tt0050212	8.1	236586
tt1220719	8.0	235567
tt4236770	8.7	234928
tt0129167	8.1	233982
tt3920596	8.4	229576
tt0064115	8.0	228902
tt1606375	8.7	228658
tt14500888	8.1	227464
tt6257970	8.0	226669
tt1305806	8.2	225932
tt9288030	8.0	225592
tt0353969	8.1	225121
tt0452046	8.1	224740
tt11280740	8.7	221792
tt3011894	8.1	220829
tt15097216	8.7	220443
tt13406094	8.0	220374
tt0098936	8.8	219798
tt6741278	8.7	218463
tt0050825	8.4	217008
tt5074352	8.3	216570
tt7221388	8.4	212904
tt5687612	8.7	212103
tt0986264	8.3	210671
tt1255953	8.3	210657
tt0094625	8.0	209541
tt0979432	8.6	206112
tt1196946	8.2	205431
tt2338151	8.1	205172
tt9561862	8.4	203380
tt0113247	8.1	202162
tt0050976	8.1	202068
tt0063442	8.0	200941
tt10272386	8.2	200728
tt0053604	8.3	200603
tt0352248	8.0	200514
tt0021749	8.5	199175
tt0285331	8.4	199055
tt3398228	8.8	196836
tt4857264	8.0	196353
tt4955642	8.2	196166
tt10155688	8.4	195333
tt4729430	8.2	195139
tt1839578	8.5	192653
tt0046912	8.2	192340
tt4508902	8.7	191897
tt0165598	8.1	191799
tt0061512	8.1	191174
tt0107207	8.1	189960
tt0904208	8.3	189854
tt0384766	8.7	189189
tt0978762	8.1	189098
tt0017136	8.3	188527
tt0072684	8.1	186717
tt0092067	8.0	186108
tt0087544	8.0	186047
tt0041959	8.1	184943
tt0042876	8.2	183859
tt3006802	8.4	182958
tt0988824	8.7	179893
tt5057054	8.0	179248
tt4016934	8.1	178720
tt0387199	8.4	178400
tt0407362	8.7	178288
tt0040522	8.3	178276
tt1219024	8.1	176892
tt9253284	8.4	176835
tt2788316	8.6	176711
tt3230854	8.5	176556
tt2401256	8.4	176270
