tconst	averageRating	numVotes
tt1698008	2.6	2512
tt2439946	2.4	2499
tt0117676	2.5	2486
tt0119203	2.8	2465
tt11343416	2.8	2463
tt0101264	2.9	2454
tt0843873	2.2	2454
tt6090044	2.3	2441
tt2518848	2.3	2433
tt2538128	2.5	2432
tt0369738	2.5	2425
tt12283788	2.8	2420
tt0097174	2.8	2395
tt1754029	2.5	2387
tt2991516	2.9	2386
tt4616250	2.9	2385
tt1372153	2.2	2375
tt0109895	2.8	2352
tt0064338	2.9	2346
tt1893088	2.0	2344
tt0758763	2.7	2329
tt8805150	2.8	2325
tt0455583	2.7	2319
tt3384904	2.5	2316
tt3417334	2.6	2296
tt1492090	2.9	2291
tt28466465	2.7	2271
tt0425638	2.6	2269
tt0241218	2.0	2268
tt0061456	2.3	2265
tt0276011	2.4	2263
tt0379754	2.4	2256
tt1097000	2.9	2244
tt0284303	2.9	2243
tt6830716	2.6	2237
tt0122603	2.9	2225
tt4247682	2.9	2216
tt0250469	2.7	2207
tt1247400	2.9	2205
tt6916502	2.7	2201
tt9115574	2.9	2190
tt1537481	2.8	2172
tt0093872	2.4	2155
tt1087474	2.5	2152
tt1290471	2.8	2135
tt0372832	2.1	2119
tt6469960	2.9	2116
tt0078778	2.2	2116
tt6215044	2.5	2109
tt0090333	2.9	2109
tt1286142	2.6	2106
tt0074148	2.6	2099
tt0098048	2.4	2090
tt2784134	2.7	2078
tt0063790	2.9	2070
tt5720450	2.2	2070
tt3343136	2.8	2058
tt4586626	2.7	2055
tt1863997	2.6	2047
tt2415946	2.0	2040
tt0072184	2.8	2037
tt2453016	2.3	2034
tt0186654	2.9	2024
tt0046977	2.5	2019
tt0058311	2.9	2010
tt6015706	2.7	2007
tt2460488	2.2	1999
tt0231523	2.7	1992
tt16058566	2.8	1991
tt0478188	2.4	1986
tt0260162	2.4	1965
tt0272425	2.7	1956
tt8415352	2.6	1949
tt2088923	2.3	1948
tt1414361	2.8	1945
tt1618372	2.5	1944
tt1823051	2.1	1940
tt2081438	2.4	1935
tt0449393	2.2	1932
tt0862622	2.3	1931
tt0046066	2.7	1926
tt1876261	2.5	1920
tt1307989	2.6	1919
tt1244093	2.9	1918
tt22208468	2.8	1916
tt0107910	2.3	1916
tt2366806	2.3	1904
tt6772946	2.8	1898
tt15300538	2.8	1896
tt0366842	2.6	1890
tt0439504	2.5	1890
tt0337910	2.5	1881
tt4566574	2.7	1880
tt14875820	2.4	1880
tt0903606	2.6	1867
tt13797216	2.8	1865
tt3869392	2.8	1859
tt10662450	2.6	1858
tt13890060	2.8	1854
tt2511190	2.1	1854
tt3771510	2.5	1853
tt1176142	2.0	1847
tt3131744	2.4	1843
tt2552498	2.2	1843
tt0382011	2.6	1841
tt0390393	2.7	1837
tt0098435	2.6	1824
tt6360398	2.2	1823
tt2381962	2.4	1819
tt12159766	2.5	1818
tt1364289	2.8	1815
tt1056026	2.6	1806
tt0102569	2.7	1805
tt3620452	2.9	1804
tt3121860	2.7	1803
tt5585836	2.8	1786
tt0896816	2.6	1786
tt1302019	2.5	1783
tt29454492	2.8	1777
tt2268018	2.5	1774
tt0451262	2.8	1765
tt10687220	2.8	1761
tt0888019	2.6	1758
tt0093119	2.7	1743
tt3111470	2.8	1742
tt0326820	2.8	1741
tt0995840	2.4	1734
tt2196430	2.0	1732
tt0118897	2.7	1731
tt1376460	2.1	1731
tt0055452	2.6	1719
tt2690160	2.7	1714
tt0110629	2.8	1714
tt2313780	2.0	1711
tt0346811	2.9	1703
tt1136688	2.2	1692
tt0183881	2.9	1677
tt0056499	2.9	1673
tt0048256	2.2	1673
tt5686622	2.9	1668
tt3252786	2.8	1662
tt0234652	2.9	1659
tt1814631	2.1	1657
tt11343320	2.8	1649
tt0241998	2.0	1649
tt0106620	2.9	1648
tt28328452	2.7	1639
tt14045614	2.6	1639
tt5828640	2.6	1637
tt0270882	2.7	1630
tt2251481	2.2	1628
tt8360902	2.8	1621
tt1292967	2.1	1601
tt1557843	2.7	1582
tt1663222	2.4	1580
tt0088925	2.5	1578
tt11900398	2.7	1578
tt0292634	2.9	1575
tt0113950	2.9	1575
tt3481210	2.5	1571
tt2006801	2.5	1564
tt5604282	2.2	1560
tt2015261	2.7	1557
tt0060074	2.4	1554
tt25965930	2.8	1551
tt5266668	2.9	1550
tt0061765	2.8	1545
tt7710160	2.5	1540
tt0052286	2.9	1540
tt1219671	2.3	1539
tt1260572	2.8	1538
tt1148277	2.1	1538
tt0330082	2.3	1531
tt4260766	2.2	1531
tt27610677	2.9	1529
tt0940651	2.2	1526
tt3208802	2.3	1525
tt11981274	2.6	1516
tt0126848	2.1	1516
tt0059161	2.3	1514
tt0414161	2.7	1513
tt1995260	2.6	1512
tt2292182	2.5	1508
tt0431418	2.6	1506
tt0089185	2.9	1502
tt2216212	2.6	1502
tt30743549	2.5	1501
tt0177446	2.8	1500
tt1686902	2.6	1496
tt4820312	2.5	1494
tt2931376	2.7	1493
tt10195614	2.6	1491
tt0426396	2.6	1489
tt5206770	2.1	1484
tt0097630	2.5	1477
tt11569658	2.9	1475
tt0470521	2.7	1470
tt2303110	2.4	1461
tt1610528	2.7	1461
tt1220627	2.8	1454
tt1636629	2.5	1452
tt0287497	2.9	1448
tt0119072	2.0	1446
tt0495747	2.8	1445
tt11385066	2.8	1441
tt0102187	2.9	1437
tt20516438	2.7	1435
tt0167825	2.6	1435
tt0366985	2.8	1432
tt0220307	2.2	1431
tt2713642	2.9	1431
tt1156148	2.3	1427
tt0097781	2.7	1425
tt5354458	2.9	1423
tt13351440	2.0	1420
tt12821362	2.6	1419
tt0217211	2.2	1418
tt22398528	2.7	1415
tt0231138	2.1	1415
tt0052394	2.3	1413
tt11400108	2.0	1413
tt11788956	2.8	1411
tt0061592	2.6	1409
tt1728245	2.8	1404
tt2260254	2.2	1400
tt21818968	2.6	1400
tt7147670	2.2	1397
tt1757831	2.4	1397
tt3111486	2.6	1391
tt0172184	2.8	1389
tt0103434	2.8	1383
tt1969959	2.0	1376
tt1700494	2.9	1367
tt6391282	2.9	1363
tt3766382	2.6	1360
tt1468703	2.9	1355
tt0443334	2.7	1354
tt5156910	2.3	1349
tt0330795	2.8	1341
tt0082410	2.0	1337
tt12858840	2.3	1336
tt0177886	2.8	1330
tt11261270	2.5	1328
tt7262990	2.8	1327
tt0795457	2.5	1325
tt5834278	2.4	1321
tt0080346	2.8	1316
tt1686897	2.5	1313
tt0080741	2.4	1313
tt11995784	2.4	1312
tt2106675	2.7	1308
tt9783778	2.0	1306
tt5783396	2.6	1297
tt8585940	2.7	1297
tt0156789	2.8	1293
tt1910498	2.1	1292
tt0051064	2.9	1288
tt10498810	2.4	1284
tt4290974	2.7	1282
tt7042798	2.6	1280
tt0061203	2.5	1279
tt11613184	2.2	1276
tt5994894	2.4	1276
tt1353997	2.9	1272
tt2381317	2.4	1271
tt0196219	2.2	1264
tt0094153	2.2	1262
tt0165870	2.8	1258
tt0194773	2.5	1258
tt2091229	2.8	1254
tt3040510	2.8	1253
tt0093142	2.9	1252
tt3185682	2.6	1248
tt1261046	2.5	1246
tt0439615	2.9	1246
tt0339091	2.5	1243
tt0934584	2.0	1241
tt0441041	2.7	1237
tt2435514	2.8	1236
tt1465485	2.7	1236
tt6993174	2.8	1235
tt3781616	2.7	1235
tt1596722	2.8	1233
tt2184267	2.1	1232
tt13835046	2.9	1231
tt4062524	2.8	1229
tt1999141	2.7	1228
tt0090334	2.1	1227
tt0085266	2.1	1226
tt0156554	2.9	1225
tt1796603	2.8	1224
tt6945500	2.8	1223
tt0417686	2.9	1219
tt0481297	2.8	1219
tt3564860	2.5	1216
tt14868676	2.9	1215
tt1765729	2.6	1215
tt0250990	2.0	1213
tt0464073	2.0	1212
tt5481984	2.2	1210
tt1622991	2.7	1210
tt2341819	2.1	1208
tt0060536	2.8	1208
tt1993396	2.7	1205
tt15106860	2.8	1199
tt0113221	2.3	1198
tt0426556	2.7	1198
tt7204400	2.9	1195
tt21403688	2.4	1194
tt3111476	2.8	1193
tt0116299	2.6	1191
tt0822827	2.6	1190
tt0266057	2.0	1190
tt2564978	2.9	1182
tt0367817	2.3	1178
tt0197151	2.5	1176
tt0183072	2.5	1175
tt7385832	2.8	1175
tt0811011	2.3	1174
tt0116557	2.6	1174
tt0053640	2.5	1172
tt2598580	2.5	1172
tt0382443	2.5	1171
tt1909726	2.1	1171
tt0444723	2.8	1168
tt1244588	2.2	1164
tt0244491	2.6	1163
tt8295286	2.7	1162
tt2614032	2.9	1160
tt0235280	2.8	1158
tt0201694	2.6	1157
tt1810522	2.9	1157
tt0468547	2.9	1155
tt0279688	2.9	1152
tt4921370	2.3	1152
tt6720298	2.6	1148
tt0376753	2.4	1148
tt5997492	2.6	1147
tt0060956	2.6	1145
tt0052188	2.8	1145
tt11786386	2.7	1144
tt10674930	2.6	1138
tt1192302	2.8	1138
tt7833530	2.6	1133
tt0094271	2.9	1130
tt2456594	2.3	1130
tt7144296	2.9	1124
tt10270416	2.7	1123
tt1651065	2.7	1121
tt3453772	2.7	1121
tt8152324	2.9	1119
tt7311330	2.7	1119
tt2916324	2.2	1118
tt0348512	2.6	1113
tt15331462	2.4	1112
tt6680576	2.5	1111
tt1056467	2.8	1110
tt0088134	2.5	1106
tt5784372	2.8	1104
tt0062493	2.3	1101
tt0933342	2.7	1099
tt12906784	2.7	1097
tt1882053	2.3	1097
tt0107683	2.3	1096
tt0059786	2.3	1095
tt0887143	2.8	1095
tt4513074	2.5	1091
tt1564369	2.8	1086
tt2401789	2.5	1084
tt0307692	2.2	1081
tt0372311	2.3	1080
tt0052719	2.7	1079
tt10648146	2.5	1078
tt1776309	2.9	1076
tt0487920	2.9	1076
tt0810817	2.2	1075
tt4974254	2.5	1072
tt0339236	2.8	1072
tt7784206	2.5	1070
tt0454953	2.9	1065
tt14134070	2.7	1064
tt1832516	2.8	1057
tt0267813	2.5	1053
tt0918554	2.9	1052
tt5343450	2.2	1050
tt0401742	2.5	1048
tt0062036	2.7	1048
tt0086262	2.8	1046
tt33255528	2.4	1044
tt0783538	2.2	1044
tt2392846	2.3	1044
tt0149677	2.9	1043
tt0499464	2.8	1042
tt12306810	2.8	1042
tt0897444	2.8	1038
tt0445948	2.9	1035
tt8622232	2.4	1033
tt14266534	2.6	1033
tt14973630	2.8	1031
tt1031282	2.8	1030
tt0083185	2.5	1029
tt2015478	2.2	1028
tt1278153	2.8	1023
tt7422790	2.4	1023
tt0878647	2.7	1022
tt3116438	2.6	1020
tt0810743	2.0	1018
tt0997143	2.8	1017
tt14516188	2.2	1017
tt1132588	2.9	1011
tt10183542	2.9	1009
tt5242684	2.8	1008
tt0758754	2.7	1006
tt0147467	2.8	1004
tt0065470	2.7	1001
tt0272036	2.8	1001
tt0063145	2.7	1000
tt10378798	2.2	999
tt0138329	2.9	997
tt19358036	2.2	994
tt0990363	2.9	993
tt5785200	2.8	993
tt18214172	2.0	992
tt4020312	2.9	991
tt16358282	2.7	988
tt1274596	2.4	986
tt3855912	2.3	979
tt0157836	2.8	977
tt0212302	2.7	977
tt1231575	2.8	975
tt0445972	2.7	974
tt0181602	2.7	968
tt21426434	2.8	968
tt0325597	2.5	968
tt0478855	2.7	967
tt9555284	2.2	967
tt0265870	2.4	966
tt3724898	2.8	966
tt0062946	2.6	965
tt0110273	2.9	964
tt1421049	2.2	963
tt2275499	2.3	962
tt2215366	2.8	962
tt1125865	2.9	962
tt4943934	2.5	961
tt0451033	2.4	960
tt3922754	2.4	959
tt3591138	2.6	958
tt0783492	2.8	956
tt0480232	2.5	954
tt5056470	2.7	953
tt17736704	2.1	951
tt3549566	2.9	950
tt12098392	2.5	944
tt0411265	2.7	944
tt5247042	2.7	943
tt10125662	2.9	943
tt15295912	2.1	943
tt0042874	2.6	942
tt0443629	2.3	941
tt0494712	2.2	941
tt6342062	2.6	940
tt0109319	2.8	940
tt8420672	2.7	940
tt1911533	2.8	938
tt2547942	2.3	937
tt5940448	2.9	934
tt7014356	2.9	934
tt3231734	2.5	933
tt4482572	2.8	933
tt11219136	2.5	932
tt0436548	2.7	931
tt4272420	2.6	930
tt2343475	2.7	929
tt9186684	2.5	927
tt5789682	2.6	927
tt1078463	2.3	927
tt1937329	2.9	926
tt0100448	2.7	925
tt8832114	2.4	923
tt1161951	2.8	922
tt0373255	2.5	920
tt6359082	2.2	918
tt0066845	2.8	917
tt1466565	2.7	917
tt3099370	2.4	915
tt0062035	2.8	914
tt1740468	2.6	914
tt3551684	2.1	912
tt0858436	2.7	912
tt4608574	2.9	912
tt0312450	2.9	910
tt2676350	2.9	910
tt1442498	2.9	909
tt6450628	2.7	909
tt2324928	2.7	909
tt15057532	2.5	907
tt3171246	2.6	905
tt6846128	2.9	905
tt1304568	2.5	904
tt13989524	2.9	902
tt0353984	2.4	902
tt0273041	2.9	901
tt0077640	2.7	899
tt0115791	2.7	899
tt0447448	2.3	899
tt2154793	2.8	898
tt10546058	2.7	898
tt0850284	2.3	898
tt1781947	2.8	894
tt9382172	2.5	893
tt5326520	2.8	893
tt0222529	2.9	893
tt0367164	2.7	891
tt0120002	2.6	890
tt0128224	2.5	890
tt1965057	2.6	889
tt10863072	2.6	888
